,tokens,tags,ner_tags_str,len
443,"['“' 'The' 'Reserve' 'Bank' 'of' 'India' '(' 'RBI' ')' 'has' 'already'
 'put' 'those' 'state' 'government' '(' 'discoms' ')' 'to' 'notice' 'that'
 'if' 'they' 'do' 'n’t' 'charge' 'adequately' 'and' 'do' 'n’t' 'make'
 'the' 'users' 'pay' 'for' 'the' 'power' 'that' 'is' 'supplied' 'to'
 'them' ',' 'the' 'banking' 'system' 'at' 'its' 'own' 'peril' 'cannot'
 'continue' 'to' 'support' 'them' ',' '”' 'Jaitley' 'said' 'while' 'the'
 'Indian' 'Banks' '’' 'Association' 'annual' 'general' 'meeting' 'in'
 'Mumbai' '.']","[0 0 5 6 6 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 6 6 6 0 0 0 0 3 0]","['O' 'O' 'B-ORG' 'I-ORG' 'I-ORG' 'I-ORG' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'B-ORG' 'I-ORG'
 'I-ORG' 'I-ORG' 'O' 'O' 'O' 'O' 'B-LOC' 'O']",71
444,"['The' 'Finance' 'Minister' 'said' 'that' 'in' 'the' 'power' 'sector' ','
 'the' 'problem' 'is' 'essentially' 'of' 'the' 'discoms' ',' 'who'
 'despite' 'an' 'increase' 'in' 'power' 'generation' 'and' 'supply' ','
 'are' 'unable' 'to' 'bridge' 'the' 'last' '-' 'mile' 'gap' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']",38
445,"['“' 'Our' 'capacities' 'in' 'power' 'generation' 'has' 'hugely'
 'improved' ',' 'we' 'were' 'last' 'year' 'surplus' 'at' 'power' ',' 'our'
 'distribution' 'network' 'through' 'the' 'national' 'grids' 'has'
 'improved' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",28
446,"['The' 'final' 'access' 'or' 'the' 'last' 'mile' 'access' 'is' 'by' 'the'
 'state' 'discoms' ',' '”' 'he' 'explained' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],18
447,"['Jaitley' 'said' 'very' 'few' 'states' 'have' 'carried' 'out' 'reforms'
 'for' 'state' 'discoms' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0],['B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],13
448,"['“' 'There' 'are' 'four' 'states' 'which' 'are' 'in' 'dire' 'distress'
 'as' 'far' 'as' 'their' 'discoms' 'are' 'concerned' 'and' 'four' 'others'
 'where' 'the' 'situation' 'is' 'reasonably' 'challenging' ',' '”' 'he'
 'said' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",31
449,"['He' 'further' 'said' 'that' 'the' 'entire' 'advantage' 'of' 'increased'
 'power' 'generation' ',' 'multiple' 'sources' 'of' 'power' 'generation'
 ',' 'a' 'grid' 'across' 'the' 'country' ',' 'all' 'gets' 'defeated' 'by'
 'a' 'narrow' 'last' 'mile' 'where' 'reforms' 'have' 'not' 'been'
 'carried' 'out' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']",40
450,"['The' 'power' 'ministry' 'is' 'in' 'active' 'discussion' 'with' 'these'
 'states' 'and' 'most' 'of' 'them' 'have' 'responded' 'quite' 'positively'
 ',' 'he' 'said' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']",22
451,"['“' 'A' 'meeting' 'was' 'held' 'at' 'the' 'level' 'of' 'the' 'prime'
 'minister' 'himself' 'and' 'some' 'important' 'changes' 'and' 'reforms'
 'in' 'relation' 'to' 'these' 'states' 'where' 'the' 'discoms' 'are'
 'distressed' 'are' 'being' 'worked' 'out' ',' '”' 'he' 'added' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']",38
452,"['Jaitley' 'said' 'that' 'power' 'ministry' 'is' 'in' 'the' 'final'
 'stages' 'giving' 'effect' 'to' 'its' 'discussions' 'with' 'each' 'one'
 'of' 'these' 'states' 'which' 'would' 'have' 'to' 'enter' 'into' 'a'
 'discussion' 'and' 'probably' 'an' 'agreement' 'with' 'the' 'ministry'
 'and' 'its' 'only' 'then' 'the' 'kind' 'of' 'relief' 'being' 'worked'
 'out' 'be' 'available' 'to' 'them' '.']","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","['B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",52
453,"['Through' 'the' 'Financial' 'Restructuring' 'Package' '(' 'FRP' ')' ','
 'discoms' '’' 'short' '-' 'term' 'liabilities' 'amounting' 'to' 'Rs'
 '51,200' 'crore' 'were' 'restructured' 'by' 'the' 'lenders' 'in' '2012'
 'with' 'the' 'comfort' 'of' 'state' 'government' 'guarantees' '.']",[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",35
454,"['Under' 'the' 'FRP' ',' '50' '%' 'of' 'the' 'accumulated' 'debt' 'of'
 'the' 'discoms' 'till' 'March' '2012' 'were' 'converted' 'into' 'bonds'
 '.']",[0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']",21
455,"['These' 'bonds' 'were' 'be' 'issued' 'by' 'the' 'distribution'
 'companies' 'to' 'the' 'participating' 'lenders' ',' 'backed' 'by'
 'state' 'government' 'guarantees' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']",20
456,"['The' 'balance' '50' '%' 'loans' 'were' 'restructured' 'by' 'providing'
 'moratorium' 'on' 'principal' 'and' 'best' 'possible' 'terms' 'for'
 'repayments' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']",19
457,"['28' ',' '2015' '7:45' 'pm']",[0 0 0 0 0],['O' 'O' 'O' 'O' 'O'],5
458,"['Tue' ',' 'Jul' '21' ',' '2015' ',' '2:19' 'AM' 'NZST' '-' 'New'
 'Zealand' 'Markets' 'open' 'in' '7' 'hrs' '41' 'mins' 'Business' 'urge'
 'bipartisanship' 'on' 'tax' 'reform' 'AAP' '–' '3' 'minutes' '27'
 'seconds' 'ago' 'Recommend' 'Print' 'Business' 'and' 'community' 'groups'
 'have' 'joined' 'forces' 'to' 'urge' 'Australia' ""'s"" 'leaders' 'to'
 'keep' 'all' 'options' 'on' 'the' 'table' 'when' 'discussing' 'tax' 'and'
 'federation' '.']","[0 0 0 0 0 0 0 0 0 0 0 3 4 4 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'I-LOC' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",60
459,"['The' 'Australian' 'Chamber' 'of' 'Commerce' 'and' 'Industry' ',' 'the'
 'Australian' 'Council' 'of' 'Social' 'Service' 'and' 'the' 'Business'
 'Council' 'of' 'Australia' 'are' 'urging' 'a' 'level' 'of'
 'bipartisanship' 'not' 'seen' 'for' 'a' 'long' 'time' ',' 'in' 'the'
 'lead' 'up' 'to' 'Prime' 'Minister' 'Tony' 'Abbott' ""'s"" 'special'
 'leaders' 'retreat' 'on' 'Wednesday' '.']","[0 5 6 6 6 6 6 0 0 5 6 6 6 6 0 0 5 6 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 2 0 0 0 0 0 0 0]","['O' 'B-ORG' 'I-ORG' 'I-ORG' 'I-ORG' 'I-ORG' 'I-ORG' 'O' 'O' 'B-ORG'
 'I-ORG' 'I-ORG' 'I-ORG' 'I-ORG' 'O' 'O' 'B-ORG' 'I-ORG' 'I-ORG' 'I-ORG'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",49
460,"['Premiers' 'and' 'chief' 'ministers' 'from' 'across' 'the' 'country'
 'will' 'attend' 'the' 'event' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],13
461,"['The' 'business' 'and' 'community' 'groups' 'believe' 'the' 'case' 'for'
 'comprehensive' 'tax' 'reform' 'is' 'compelling' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],15
462,"['ACOSS' 'boss' 'Cassandra' 'Goldie' 'says' 'if' 'governments' 'continue'
 'to' 'avoid' 'serious' 'tax' 'reform' 'they' 'will' 'face' 'a' 'budget'
 'crisis' 'where' 'choices' 'will' 'be' 'a' 'lot' 'tougher' '.']",[5 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['B-ORG' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",27
463,"['""' 'Experience' 'shows' 'us' 'that' 'tax' 'and' 'budget' 'reform' 'can'
 'be' 'achieved' ',' 'but' 'it' 'will' 'require' 'a' 'degree' 'of'
 'vision' ',' 'consensus' 'and' 'bi-partisanship' ',' 'starting' 'with'
 'our' 'political' 'leaders' ',' '""' 'she' 'said' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",36
464,"['The' 'groups' 'want' 'the' 'leaders' 'to' 'work' 'towards' 'a' 'tax'
 'system' 'that' 'raises' 'the' 'revenue' 'governments' 'need' 'to'
 'provide' 'services' 'to' 'the' 'community' ',' 'in' 'a' 'way' 'that'
 'supports' 'a' 'stronger' 'economy' ',' 'job' 'creation' 'and' 'that'
 'is' 'fair' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']",40
465,"['They' 'say' 'reform' 'will' 'only' 'happen' 'if' 'Australia' ""'s""
 'political' ',' 'business' 'and' 'community' 'leaders' 'put' 'the'
 'national' 'interest' 'first' '.']",[0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']",21
466,"['""' 'If' 'our' 'diverse' 'organisations' 'can' 'sit' 'down' 'together'
 'and' 'nut' 'out' 'the' 'objectives' 'for' 'tax' 'reform' '...' 'this'
 'provides' 'our' 'political' 'leaders' 'with' 'a' 'solid' 'platform' 'of'
 'consensus' 'and' 'support' 'to' 'take' 'things' 'forward' ',' '""' 'BCA'
 'chief' 'executive' 'Jennifer' 'Westacott' 'says' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 5 0 0 1 2 0 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-ORG' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O']",44
467,"['@' 'YahooNZBusiness' 'on' 'Twitter' ',' 'become' 'a' 'fan' 'on'
 'Facebook' 'Lockheed' 'Martin' 'to' 'buy' 'Sikorsky' 'Aircraft' 'AAP'
 'US' 'defence' 'giant' 'Lockheed' 'Martin' 'says' 'it' 'had' 'agreed'
 'to' 'buy' 'Sikorsky' 'Aircraft' ',' 'maker' 'of' 'Black' 'Hawk'
 'helicopters' ',' '…']","[0 5 0 5 0 0 0 0 0 5 5 6 0 0 5 6 5 3 0 0 5 6 0 0 0 0 0 0 5 6 0 0 0 5 6 0 0
 0]","['O' 'B-ORG' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'B-ORG' 'I-ORG' 'O'
 'O' 'B-ORG' 'I-ORG' 'B-ORG' 'B-LOC' 'O' 'O' 'B-ORG' 'I-ORG' 'O' 'O' 'O'
 'O' 'O' 'O' 'B-ORG' 'I-ORG' 'O' 'O' 'O' 'B-ORG' 'I-ORG' 'O' 'O' 'O']",38
468,"['2,707.00' '+25.0000']",[0 0],['O' 'O'],2
469,"['With' 'the' 'FTSE' '100' 'trading' 'at' 'a' 'lower' 'level' 'than' 'it'
 'was' 'at' 'the' 'end' 'of' 'the' 'last' 'century' ',' 'now' 'could' 'be'
 'a' 'great' 'time' 'to' 'stock' 'up' 'on' 'high' '-' 'quality'
 'companies' 'trading' 'at' 'bargain' 'prices' '.']","[0 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]","['O' 'O' 'B-ORG' 'I-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']",39
470,"['An' 'example' 'of' 'such' 'a' 'business' 'is' 'Unilever' '(' 'LSE' ':'
 'ULVR' ')' ',' 'which' 'has' 'seen' 'its' 'share' 'price' 'come' 'under'
 'pressure' 'recently' 'as' 'a' 'result' 'of' 'its' 'considerable'
 'exposure' 'to' 'the' 'emerging' 'world' ',' 'where' 'the' 'pace' 'of'
 'future' 'growth' 'is' 'in' 'doubt' '.']","[0 0 0 0 0 0 0 5 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'B-ORG' 'O' 'B-ORG' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",46
471,"['In' 'fact' ',' 'Unilever' ""'s"" 'share' 'price' 'fell' 'from' 'over' '£'
 '29' 'at' 'the' 'start' 'of' 'August' 'to' 'just' 'over' '£' '25' 'by'
 'the' 'end' 'of' 'the' 'same' 'month' '.']",[0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",30
472,"['Since' 'then' ',' 'though' ',' 'it' 'has' 'recovered' 'around' 'half'
 'of' 'this' 'fall' 'and' ',' 'looking' 'ahead' ',' 'vast' 'share' 'price'
 'growth' 'could' 'be' 'on' 'the' 'cards' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",28
473,"['That' ""'s"" 'because' 'Unilever' 'has' 'an' 'unrivalled' 'stable' 'of'
 'branded' 'goods' '.']",[0 0 0 5 0 0 0 0 0 0 0 0],['O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],12
474,"['Even' 'if' 'China' 'and' 'the' 'emerging' 'world' 'grow' 'at' 'a'
 'slightly' 'slower' 'pace' 'than' 'was' 'previously' 'predicted' ','
 'Unilever' 'is' 'still' 'in' 'a' 'prime' 'position' 'to' 'tap' 'into'
 'increased' 'wealth' 'and' 'rising' 'demand' 'for' 'branded' 'consumer'
 'goods' '.']","[0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","['O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']",38
475,"['And' ',' 'with' 'it' 'having' 'invested' '£' 'billions' 'in' 'recent'
 'years' 'in' 'marketing' 'and' 'ensuring' 'its' 'products' 'are' 'widely'
 'available' 'across' 'the' 'emerging' 'world' ',' 'Unilever' ""'s"" 'brand'
 'loyalty' 'is' 'already' 'strong' 'in' 'the' 'developing' 'world' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']",37
476,"['This' ',' 'combined' 'with' 'a' 'price' 'to' 'earnings' '(' 'P/E' ')'
 'ratio' 'of' '19.6' ',' 'indicates' 'that' 'Unilever' 'is' 'a' 'very'
 'good' 'value' 'purchase' 'at' 'the' 'present' 'time' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",29
477,"['Certainly' ',' 'its' 'rating' 'is' 'higher' 'than' 'that' 'of' 'the'
 'wider' 'market' ',' 'but' 'Unilever' ""'s"" 'P/E' 'ratio' 'could' 'easily'
 'expand' 'beyond' '20' 'and' 'push' 'its' 'shares' 'to' 'an' 'all' '-'
 'time' 'high' 'in' 'the' 'coming' 'years' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O']",38
478,"['Similarly' ',' 'transport' 'operator' 'FirstGroup' '(' 'LSE' ':' 'FGP'
 ')' 'also' 'appears' 'to' 'offer' 'long' 'term' 'growth' 'potential' '.']",[0 0 0 0 5 0 5 0 5 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'B-ORG' 'O' 'B-ORG' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']",19
479,"['As' 'today' ""'s"" 'update' 'from' 'the' 'company' 'shows' ',' 'it' 'is'
 'trading' 'in' '-' 'line' 'with' 'expectations' 'and' 'is' 'forecast'
 'to' 'increase' 'its' 'bottom' 'line' 'by' 'as' 'much' 'as' '27' '%'
 'next' 'year' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",34
480,"['This' 'puts' 'it' 'on' 'a' 'price' 'to' 'earnings' 'growth' '(' 'PEG'
 ')' 'ratio' 'of' 'just' '0.3' ',' 'which' 'indicates' 'that' 'its'
 'shares' 'are' 'severely' 'undervalued' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",26
481,"['That' ""'s"" 'especially' 'the' 'case' 'since' 'FirstGroup' ""'s"" 'UK'
 'rail' 'business' 'is' 'enjoying' 'a' 'purple' 'patch' 'right' 'now' ','
 'with' 'today' ""'s"" 'announcement' 'highlighting' 'that' 'it' 'continues'
 'to' 'deliver' 'excellent' 'passenger' 'revenue' 'growth' '.']",[0 0 0 0 0 0 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",34
482,"['Meanwhile' ',' 'its' 'UK' 'bus' 'division' 'is' 'also' 'enjoying'
 'commercial' 'revenue' 'growth' 'and' 'is' 'on' '-' 'track' 'with' 'its'
 'cost' '-' 'cutting' 'drive' ',' 'while' 'its' 'other' 'divisions' 'are'
 'also' 'coping' 'well' 'amidst' 'challenging' 'trading' 'conditions' '.']",[0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']",37
